dataset,feature,target,AUROC,AUPRC,prevalence
05_AudioSet,neg_evidence_support,any_M_P5_benefit,0.6236422469429216,0.03527743920236222,0.02675100098647943
05_AudioSet,neg_evidence_support,fixed_M1_P5_benefit,0.6090727074236884,0.0189984545322699,0.013868740207740963
05_AudioSet,neg_evidence_support,fixed_M1_P5_harm,0.5591017469414585,0.026261086951246636,0.0235014216909418
05_AudioSet,evidence_variance,any_M_P5_benefit,0.490420391283272,0.025344542574381866,0.02675100098647943
05_AudioSet,evidence_variance,fixed_M1_P5_benefit,0.472343549261541,0.013112493106281226,0.013868740207740963
05_AudioSet,evidence_variance,fixed_M1_P5_harm,0.49195594056936265,0.023010100131377782,0.0235014216909418
06_TUT2017,neg_base_margin,any_M_P5_benefit,0.6744881943111372,0.011691378713570065,0.00405982905982906
06_TUT2017,neg_base_margin,fixed_M1_P5_benefit,0.6898395721925134,0.0023846082646111965,0.0010683760683760685
06_TUT2017,neg_base_margin,fixed_M1_P5_harm,0.6962531463502337,0.01892942094490239,0.009615384615384616
06_TUT2017,neg_first_margin,any_M_P5_benefit,0.5952528822592847,0.00879361357526173,0.00405982905982906
06_TUT2017,neg_first_margin,fixed_M1_P5_benefit,0.5709090909090909,0.007812268869008878,0.0010683760683760685
06_TUT2017,neg_first_margin,fixed_M1_P5_harm,0.6663909864557113,0.02222398284606214,0.009615384615384616
06_TUT2017,base_entropy,any_M_P5_benefit,0.6685373592746079,0.00871106628514305,0.00405982905982906
06_TUT2017,base_entropy,fixed_M1_P5_benefit,0.6903957219251337,0.0020794333217735634,0.0010683760683760685
06_TUT2017,base_entropy,fixed_M1_P5_harm,0.6937935994246673,0.028176363204105805,0.009615384615384616
06_TUT2017,first_entropy,any_M_P5_benefit,0.6391332332117572,0.03572229027387978,0.00405982905982906
06_TUT2017,first_entropy,fixed_M1_P5_benefit,0.6521497326203208,0.1081441664707908,0.0010683760683760685
06_TUT2017,first_entropy,fixed_M1_P5_harm,0.7085269087858085,0.030458135530045158,0.009615384615384616
06_TUT2017,top1_conflict,any_M_P5_benefit,0.635536760803532,0.006113565646214696,0.00405982905982906
06_TUT2017,top1_conflict,fixed_M1_P5_benefit,0.645668449197861,0.001672163705358726,0.0010683760683760685
06_TUT2017,top1_conflict,fixed_M1_P5_harm,0.6693635382955772,0.016343346218864893,0.009615384615384616
06_TUT2017,js_divergence,any_M_P5_benefit,0.6873609683939521,0.0078591469562523,0.00405982905982906
06_TUT2017,js_divergence,fixed_M1_P5_benefit,0.7407058823529411,0.003904167232143825,0.0010683760683760685
06_TUT2017,js_divergence,fixed_M1_P5_harm,0.7147117343881098,0.038812344030379524,0.009615384615384616
06_TUT2017,distribution_l1_change,any_M_P5_benefit,0.6745446538465882,0.007293321989460176,0.00405982905982906
06_TUT2017,distribution_l1_change,fixed_M1_P5_benefit,0.7337326203208556,0.0033454480337387184,0.0010683760683760685
06_TUT2017,distribution_l1_change,fixed_M1_P5_harm,0.7121371209397099,0.03890939384221273,0.009615384615384616
06_TUT2017,top1_score_change_abs,any_M_P5_benefit,0.5299856592779955,0.008515909936887221,0.00405982905982906
06_TUT2017,top1_score_change_abs,fixed_M1_P5_benefit,0.2531122994652406,0.0009479253667648303,0.0010683760683760685
06_TUT2017,top1_score_change_abs,fixed_M1_P5_harm,0.5800767110152223,0.03507642748654573,0.009615384615384616
06_TUT2017,neg_evidence_support,any_M_P5_benefit,0.7475129574633859,0.011644353131086745,0.00405982905982906
06_TUT2017,neg_evidence_support,fixed_M1_P5_benefit,0.8765133689839573,0.008785059741773958,0.0010683760683760685
06_TUT2017,neg_evidence_support,fixed_M1_P5_harm,0.6697279156178833,0.015617660014319917,0.009615384615384616
06_TUT2017,evidence_variance,any_M_P5_benefit,0.3899321356383879,0.0035848082513201644,0.00405982905982906
06_TUT2017,evidence_variance,fixed_M1_P5_benefit,0.17277005347593583,0.0008733794217834606,0.0010683760683760685
06_TUT2017,evidence_variance,fixed_M1_P5_harm,0.5703535898357905,0.012171328273286174,0.009615384615384616
