dataset,feature,trigger_budget,trigger_n,fixed_rescue_covered,fixed_rescue_recall,fixed_harm_triggered,harm_per_trigger,any_M_rescue_recall
06_TUT2017,neg_first_margin,0.5,2340,3,0.6,31,0.013247863247863248,0.631578947368421
06_TUT2017,base_entropy,0.1,468,0,0.0,9,0.019230769230769232,0.15789473684210525
06_TUT2017,base_entropy,0.2,936,2,0.4,15,0.016025641025641024,0.42105263157894735
06_TUT2017,base_entropy,0.3,1404,3,0.6,24,0.017094017094017096,0.5263157894736842
06_TUT2017,base_entropy,0.5,2340,4,0.8,38,0.01623931623931624,0.7368421052631579
06_TUT2017,first_entropy,0.1,468,2,0.4,19,0.0405982905982906,0.15789473684210525
06_TUT2017,first_entropy,0.2,936,2,0.4,22,0.023504273504273504,0.3684210526315789
06_TUT2017,first_entropy,0.3,1404,3,0.6,24,0.017094017094017096,0.5789473684210527
06_TUT2017,first_entropy,0.5,2340,3,0.6,34,0.01452991452991453,0.631578947368421
06_TUT2017,top1_conflict,0.1,468,0,0.0,8,0.017094017094017096,0.3157894736842105
06_TUT2017,top1_conflict,0.2,936,3,0.6,23,0.024572649572649572,0.5263157894736842
06_TUT2017,top1_conflict,0.3,1404,3,0.6,29,0.020655270655270654,0.5789473684210527
06_TUT2017,top1_conflict,0.5,2340,3,0.6,30,0.01282051282051282,0.631578947368421
06_TUT2017,js_divergence,0.1,468,2,0.4,7,0.014957264957264958,0.21052631578947367
06_TUT2017,js_divergence,0.2,936,3,0.6,14,0.014957264957264958,0.3684210526315789
06_TUT2017,js_divergence,0.3,1404,4,0.8,28,0.019943019943019943,0.6842105263157895
06_TUT2017,js_divergence,0.5,2340,4,0.8,40,0.017094017094017096,0.7894736842105263
06_TUT2017,distribution_l1_change,0.1,468,1,0.2,6,0.01282051282051282,0.15789473684210525
06_TUT2017,distribution_l1_change,0.2,936,3,0.6,15,0.016025641025641024,0.3157894736842105
06_TUT2017,distribution_l1_change,0.3,1404,4,0.8,29,0.020655270655270654,0.6842105263157895
06_TUT2017,distribution_l1_change,0.5,2340,4,0.8,39,0.016666666666666666,0.7894736842105263
06_TUT2017,top1_score_change_abs,0.1,468,0,0.0,6,0.01282051282051282,0.05263157894736842
06_TUT2017,top1_score_change_abs,0.2,936,0,0.0,13,0.013888888888888888,0.2631578947368421
06_TUT2017,top1_score_change_abs,0.3,1404,1,0.2,18,0.01282051282051282,0.47368421052631576
06_TUT2017,top1_score_change_abs,0.5,2340,1,0.2,25,0.010683760683760684,0.5789473684210527
06_TUT2017,neg_evidence_support,0.1,468,4,0.8,7,0.014957264957264958,0.3157894736842105
06_TUT2017,neg_evidence_support,0.2,936,4,0.8,18,0.019230769230769232,0.631578947368421
06_TUT2017,neg_evidence_support,0.3,1404,4,0.8,25,0.017806267806267807,0.6842105263157895
06_TUT2017,neg_evidence_support,0.5,2340,5,1.0,35,0.014957264957264958,0.8947368421052632
06_TUT2017,evidence_variance,0.1,468,0,0.0,7,0.014957264957264958,0.05263157894736842
06_TUT2017,evidence_variance,0.2,936,0,0.0,13,0.013888888888888888,0.15789473684210525
06_TUT2017,evidence_variance,0.3,1404,0,0.0,17,0.012108262108262107,0.21052631578947367
06_TUT2017,evidence_variance,0.5,2340,1,0.2,28,0.011965811965811967,0.42105263157894735
