dataset,contrast,baseline,method,delta_Hit@1_pp,Hit@1_CI_low,Hit@1_CI_high,rescued,harmed,McNemar_p,delta_MRR_pp,MRR_CI_low,MRR_CI_high
FSD50K,"AAKV | joint fusion, Selector",S_Selector,TS,4.095396344443358,3.35255595738442,4.8284625158831,988,569,1.598782356863838e-26,2.043798621588517,1.5892150807227667,2.4937240968346766
FSD50K,"AAKV | Fusion, Selector",FS,TFS_Final,3.899912032059427,3.2157169387156683,4.60365555664158,875,476,1.051381516074572e-27,2.3236018386517827,1.8874399317315032,2.76477538678559
FSD50K,"Selector | Direct, joint fusion",I_iKnow,S_Selector,0.4496139184830417,-0.23458117486071742,1.1044863649692114,633,587,0.19760527683157125,0.07745970946049124,-0.3097741146627657,0.453951385800346
FSD50K,"Selector | AAKV, joint fusion",T_AAKV,TS,2.7856514514710193,2.1601016518424396,3.420975466718796,674,389,1.8984060056909192e-18,1.277804152645322,0.9199379259735041,1.63773266123965
FSD50K,"Selector | Direct, Fusion",F_Fusion,FS,-0.23458117486071742,-0.8308083276317076,0.3716645489199456,497,521,0.47101006489988095,-0.6719762167287855,-1.028203948995718,-0.3160078031591577
FSD50K,"Selector | AAKV, Fusion",TF,TFS_Final,1.7886814583129704,1.2120027367803734,2.3458117486071743,544,361,1.2789999245193975e-09,0.6691043734577242,0.3314645055605499,0.9914623964296636
FSD50K,AAKV vs RawTriple | Fusion+Selector,Raw-FS,TFS_Final,4.91643045645587,4.202912716254521,5.620173981038022,968,465,5.859785066177609e-41,3.1464846040401104,2.698086825059186,3.5883828917041254
FSD50K,Full system vs Frozen-iKnow,I_iKnow,TFS_Final,4.662300850356759,3.9194604632978205,5.395367021796501,994,517,4.881854075164527e-35,2.339594004055694,1.8972978349781102,2.774657486843169
AudioSet,"Fusion | Direct, FixedRq",I_iKnow,F_Fusion,0.42360587245401266,0.15087332443567575,0.6964834909766124,322,249,0.002555602976289864,0.33786675501153884,0.18913938796089894,0.48976489139049706
AudioSet,"Fusion | AAKV, FixedRq",T_AAKV,TF,1.0967330122439505,0.800789183543202,1.3984796611153019,440,251,6.186382307866312e-13,0.7178497558541376,0.5612027216977487,0.8802490653992785
AudioSet,"Fusion | Direct, Selector",S_Selector,FS,0.15667614460627866,-0.09864794290024952,0.4120002321128068,263,236,0.2444287231080734,0.0055593752089183315,-0.16045678442873373,0.1744877204494076
AudioSet,"Fusion | AAKV, Selector",TS,TFS_Final,0.17408460511808738,-0.10445076307085244,0.45842279347763015,333,303,0.25015494995716425,0.17387102182445516,-0.005947994723862695,0.35225012890575674
AudioSet,"AAKV | joint fusion, FixedRq",I_iKnow,T_AAKV,-0.5628735565484826,-1.1257471130969652,0.005802820170602913,1178,1275,0.05256369518205489,-0.38002633902433935,-0.7160429797213372,-0.03894486629656581
AudioSet,"AAKV | Fusion, FixedRq",F_Fusion,TF,0.11025358324145534,-0.4120002321128068,0.6325073985957175,1068,1049,0.6956502478996938,-4.3338181740678554e-05,-0.32183199599496454,0.3087796866664144
AudioSet,"AAKV | joint fusion, Selector",S_Selector,TS,1.259211977020832,0.7659722625195845,1.7408460511808739,1048,831,6.091745725482058e-07,0.6225882965235645,0.29869185193721276,0.9414195165736112
AudioSet,"AAKV | Fusion, Selector",FS,TFS_Final,1.2766204375326409,0.8065920037138049,1.7524516915220798,952,732,9.091484504231877e-08,0.7908999431391012,0.47959678708577835,1.1011735922623427
AudioSet,"Selector | Direct, joint fusion",I_iKnow,S_Selector,0.6557186792781291,0.24371844716532237,1.0619160912203331,711,598,0.0019527905829608025,0.23526598733798035,-0.02356748087167639,0.48704158376980117
AudioSet,"Selector | AAKV, joint fusion",T_AAKV,TS,2.477804212847444,1.996170138687402,2.9710439273486915,1107,680,4.2526955559783095e-24,1.237880622885884,0.9443217421351277,1.5348644308108657
