dataset,consensus_votes,vote_fraction_of_pool,n_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued
TUT2017,18,0.3829787234042553,66,9.090909090909092,39.39393939393939,30.303030303030305,40.22001987911079,56.861434020524925,16.641414141414142,21,1,20
TUT2017,19,0.40425531914893614,82,15.853658536585366,35.36585365853659,19.51219512195122,42.09930313588851,55.48199767711962,13.382694541231125,23,7,16
TUT2017,20,0.425531914893617,73,20.54794520547945,34.24657534246575,13.698630136986301,49.26021467117357,57.84468955701831,8.584474885844749,19,9,10
TUT2017,21,0.44680851063829785,80,27.500000000000004,46.25,18.75,52.18655303030303,63.51095779220779,11.324404761904763,21,6,15
TUT2017,22,0.46808510638297873,97,21.649484536082475,27.835051546391753,6.185567010309279,48.26869579446899,50.83619702176403,2.5675012272950415,17,11,6
TUT2017,23,0.48936170212765956,135,28.14814814814815,40.0,11.851851851851853,52.80805408583188,58.38830099941211,5.580246913580248,26,10,16
TUT2017,24,0.5106382978723404,141,24.113475177304963,36.17021276595745,12.056737588652481,50.21450574642065,57.01795052858883,6.803444782168187,28,11,17
TUT2017,25,0.5319148936170213,152,21.710526315789476,46.05263157894737,24.342105263157894,48.91475848712691,62.191700843016626,13.276942355889723,48,11,37
TUT2017,26,0.5531914893617021,156,25.64102564102564,41.66666666666667,16.025641025641026,50.66091316091317,60.01378251378251,9.352869352869355,37,12,25
TUT2017,27,0.574468085106383,148,29.72972972972973,39.189189189189186,9.45945945945946,54.276061776061766,59.52300514800516,5.246943371943372,28,14,14
TUT2017,28,0.5957446808510638,133,30.075187969924812,42.857142857142854,12.781954887218044,55.191550304332246,62.35947010383101,7.167919799498747,27,10,17
TUT2017,29,0.6170212765957447,147,26.53061224489796,42.857142857142854,16.3265306122449,51.60406298161399,61.10519676846208,9.501133786848074,36,12,24
TUT2017,30,0.6382978723404256,147,37.41496598639456,46.93877551020408,9.523809523809524,61.14193440724054,64.92392339331114,3.781988986070618,33,19,14
TUT2017,31,0.6595744680851063,138,34.78260869565217,44.927536231884055,10.144927536231885,57.54485852311939,62.61732229123533,5.072463768115942,20,6,14
TUT2017,32,0.6808510638297872,133,32.33082706766917,46.616541353383454,14.285714285714285,55.07882259761958,63.4569106749558,8.378088077336198,28,9,19
TUT2017,33,0.7021276595744681,145,29.655172413793103,42.758620689655174,13.10344827586207,54.08513708513708,60.60812559088421,6.522988505747125,33,14,19
TUT2017,34,0.723404255319149,133,36.09022556390977,45.86466165413533,9.774436090225564,57.56205991168398,63.77133309464137,6.209273182957393,24,11,13
TUT2017,35,0.7446808510638298,130,39.23076923076923,53.07692307692308,13.846153846153847,61.249444999445004,68.32636807636808,7.076923076923077,30,12,18
TUT2017,36,0.7659574468085106,145,40.689655172413794,59.310344827586206,18.620689655172416,63.37722048066876,72.5841170323929,9.206896551724139,35,8,27
TUT2017,37,0.7872340425531915,150,46.0,54.666666666666664,8.666666666666668,65.76851851851853,69.7740740740741,4.0055555555555555,25,12,13
TUT2017,38,0.8085106382978723,147,42.17687074829932,56.4625850340136,14.285714285714285,63.05987474354823,70.73561170499947,7.675736961451247,32,11,21
TUT2017,39,0.8297872340425532,160,39.375,58.75,19.375,61.63492063492064,71.74950396825398,10.114583333333334,35,4,31
TUT2017,40,0.851063829787234,155,49.67741935483871,62.58064516129033,12.903225806451612,68.4408834892706,74.85486198389424,6.413978494623655,26,6,20
TUT2017,41,0.8723404255319149,171,46.198830409356724,65.49707602339181,19.298245614035086,66.30635933267513,76.2186400344295,9.912280701754383,40,7,33
TUT2017,42,0.8936170212765957,183,56.284153005464475,71.58469945355192,15.300546448087433,73.84510601723716,81.44593870003706,7.600832682799894,37,9,28
TUT2017,43,0.9148936170212766,188,61.170212765957444,73.40425531914893,12.23404255319149,76.05223972245247,82.26677872954468,6.214539007092198,28,5,23
TUT2017,44,0.9361702127659575,220,57.72727272727273,70.0,12.272727272727273,74.27418667191394,80.30448970221698,6.030303030303029,36,9,27
TUT2017,45,0.9574468085106383,252,73.01587301587301,82.53968253968253,9.523809523809524,83.13759763164525,88.11775636180398,4.98015873015873,27,3,24
TUT2017,46,0.9787234042553191,328,82.01219512195121,85.67073170731707,3.6585365853658534,88.54893666631472,90.19999648048427,1.6510598141695703,19,7,12
TUT2017,47,1.0,233,80.68669527896995,86.26609442060087,5.579399141630901,88.74546054803567,90.82496187646402,2.079501328428367,17,4,13
