Dataset,Relation,Selected count,Selected share (%),In FrozenRq
AudioSet,produced during,1198,6.951779,no
AudioSet,produces,1925,11.170429,no
AudioSet,requires attention,1466,8.506934,no
AudioSet,responds to,1673,9.708118,no
AudioSet,scene contains,1647,9.557245,no
AudioSet,temporal component of,2037,11.820345,no
AudioSet,transcribed as,1463,8.489526,no
AudioSet,triggers,1765,10.241978,no
AudioSet,used for,1777,10.311611,no
AudioSet,warns about,1233,7.154877,no
TUT2017,affects,465,7.380952,no
TUT2017,associated with environment,575,9.126984,no
TUT2017,associated with event,622,9.873016,no
TUT2017,belongs to class,464,7.365079,no
TUT2017,can be heard in,984,15.619048,no
TUT2017,caused by,495,7.857143,no
TUT2017,co-occurs with,745,11.825397,no
TUT2017,described by,265,4.206349,yes
TUT2017,emitted by,455,7.222222,no
TUT2017,emotionally associated with,363,5.761905,no
TUT2017,entails event,499,7.920635,no
TUT2017,event composed of,1028,16.317460,yes
TUT2017,follows,951,15.095238,no
TUT2017,generated by,508,8.063492,no
TUT2017,has children,761,12.079365,no
TUT2017,has duration,1034,16.412698,no
TUT2017,has loudness,838,13.301587,no
TUT2017,has parent,717,11.380952,yes
TUT2017,has pitch,558,8.857143,no
TUT2017,has sibling,882,14.000000,no
TUT2017,has subtype,385,6.111111,no
TUT2017,has timbre,687,10.904762,no
TUT2017,indicates,615,9.761905,no
TUT2017,invites action,573,9.095238,no
TUT2017,is a type of,1109,17.603175,no
TUT2017,is instance of,758,12.031746,no
TUT2017,is sound of,800,12.698413,no
TUT2017,is variant of,636,10.095238,yes
TUT2017,linked to visual,554,8.793651,no
TUT2017,localized in,691,10.968254,no
TUT2017,occurs in,492,7.809524,no
TUT2017,originates from,414,6.571429,no
TUT2017,overlaps with,897,14.238095,no
TUT2017,part of scene,505,8.015873,no
TUT2017,perceived as,436,6.920635,no
TUT2017,performed by,499,7.920635,no
TUT2017,precedes,815,12.936508,no
TUT2017,produced during,792,12.571429,no
TUT2017,produces,786,12.476190,no
TUT2017,requires attention,452,7.174603,no
TUT2017,responds to,737,11.698413,no
TUT2017,scene contains,805,12.777778,yes
TUT2017,temporal component of,1288,20.444444,no
TUT2017,transcribed as,585,9.285714,no
TUT2017,triggers,867,13.761905,no
TUT2017,used for,508,8.063492,no
TUT2017,warns about,605,9.603175,no
